No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
1,"0,00","0,000","0,002","0,02","0,001","2,91","20,94","0,005","0,199","7,680","22,704","0,3200785997","263,628","4,26",1
2,"0,58","0,580","0,350","0,32","0,100","1,99","2,75","0,030","0,190","7,418","389,391","0,04","512,232","4,74",2
3,"0,58","0,580","0,030","0,09","0,030","1,58","13,52","0,050","0,040","8,151","300,691","1,57","322,291","4,36",2
4,"0,24","0,240","0,040","0,37","0,003","1,60","3,74","0,040","0,030","7,991","326,505","0,51","474,773","4,61",2
5,"0,00","0,000","0,008","0,02","0,003","2,52","42,99","0,005","0,172","7,567","11,076","0,9808329908","257,527","0,36",1
6,"0,00","0,000","0,002","0,04","0,002","1,36","18,22","0,003","0,192","6,606","6,451","1,69","128,673","1,40",1
7,"0,00","0,000","0,007","0,02","0,000","0,46","1,30","0,008","0,141","7,103","21,336","1,369169471","193,658","3,74",1
8,"0,37","0,370","0,190","0,09","0,110","1,90","17,63","0,060","0,260","7,426","334,572","0,04","320,355","2,96",2
9,"0,00","0,000","0,010","0,03","0,000","1,51","31,58","0,007","0,061","7,343","13,677","1,592100571","271,333","2,07",1
10,"0,00","0,000","0,003","0,05","0,002","2,53","44,41","0,008","0,032","6,731","23,348","0,8461578492","57,478","4,91",1
11,"0,00","0,000","0,010","0,02","0,100","0,80","16,80","0,060","0,050","6,164","373,653",1,"275,987","4,00",2
12,"0,62","0,620","0,680","0,80","0,130","1,92","19,75","0,060","0,120","3,665","282,086","0,04","460,529","5,79",2
13,"0,00","0,000","0,009","0,04","0,002","2,43","23,29","0,004","0,025","7,927","25,748","1,601681674","99,737","4,20",1
14,"0,00","0,000","0,005","0,01","0,001","1,64","42,69","0,009","0,051","7,731","7,541","1,453442684","142,767","0,68",1
15,"0,00","0,000","0,003","0,04","0,001","1,73","8,87","0,005","0,190","8,208","2,492","0,07","269,494","0,65",1
16,"0,00","0,000","0,001","0,04","0,001","2,62","47,90","0,008","0,179","8,436","20,066","1,781176677","200,787","0,74",1
17,"0,00","0,000","0,002","0,01","0,002","0,32","4,01","0,005","0,150","7,397","36,212","0,7841055235","226,847","4,12",1
18,"0,00","0,000","0,009","0,01","0,002","2,24","3,25","0,010","0,146","7,124","26,827","0,3086623529","65,936","1,96",1
19,"0,00","0,000","0,007","0,01","0,001","2,56","16,57","0,002","0,079","8,361","22,898","1,830661755","182,510","2,28",1
20,"0,00","0,000","0,040","0,28","0,006","1,82","7,86","0,070","3,210","5,923","293,611","1,5","612,328","4,00",2
21,"0,00","0,000","0,006","0,01","0,002","1,49","9,01","0,003","0,014","7,941","13,007","1,973725824","274,827","1,05",1
22,"0,90","0,900","0,020","0,54","0,001","1,29","13,82","0,060","0,060","11,450","373,436","1,28","342,356","2,23",2
23,"0,00","0,000","0,007","0,03","0,003","1,91","40,62","0,003","0,007","6,535","31,608","0,5130723138","55,285","4,64",1
24,"0,00","0,000","0,004","0,02","0,001","0,58","15,32","0,005","0,188","6,786","31,022","0,02","70,446","0,63",1
25,"0,65","0,650","0,050","0,30","0,005","1,94","7,77","0,020","1,360","6,428","336,478","0,27","453,955","1,92",2
26,"0,00","0,000","0,000","0,03","0,090","0,10","16,80","0,060","0,050","7,683","293,078","0,27","421,964","4,11",2
27,"0,00","0,000","0,040","0,08","0,090","0,29","10,20","0,100","0,010","7,403","289,414","0,09","629,281","3,46",2
28,"0,00","0,000","0,002","0,01","0,001","2,09","49,00","0,004","0,125","6,801","16,780","1,253611072","146,090","4,23",1
29,"0,00","0,000","0,007","0,01","0,002","1,32","4,74","0,005","0,018","8,446","14,199","1,077356343","294,802","1,51",1
30,"0,00","0,000","0,020","0,87","0,001","1,73","4,21","0,080","1,950","7,602","293,841","1,48","313,010","3,78",2
31,"0,00","0,000","0,030","0,00","0,090","0,01","16,25","0,010","0,020","7,333","327,194","1,95","525,089","5,15",2
32,"0,00","0,000","0,006","0,03","0,001","0,01","33,76","0,003","0,006","8,496","19,656","0,251028131","54,872","2,36",1
33,"0,00","0,000","0,004","0,03","0,002","1,54","4,36","0,008","0,161","6,639","6,711","0,08","208,477","4,32",1
34,"0,39","0,390","0,030","0,08","0,003","1,80","13,75","0,080","0,000","3,231","302,418","1,89","313,879","4,79",2
35,"0,68","0,680","0,010","0,18","0,004","1,99","17,85","0,010","0,020","6,153","349,625","0,66","406,094","3,50",2
36,"0,00","0,000","0,010","0,03","0,000","0,87","42,49","0,008","0,142","6,656","34,644","1,427513618","77,892","2,16",1
37,"0,00","0,000","0,003","0,05","0,000","1,22","40,69","0,004","0,126","7,344","36,866","0,8958133781","219,181","1,08",1
38,"0,21","0,210","0,030","0,04","0,040","1,95","9,42","0,080","0,100","6,880","375,147","1,35","503,896","3,87",2
39,"0,98","0,980","0,020","0,53","0,007","1,45","10,90","0,050","0,130","8,206","292,516","1,34","300,548","5,43",2
40,"0,00","0,000","0,001","0,05","0,002","0,85","9,23","0,007","0,057","7,661","2,604","0,06","80,255","3,85",1
41,"0,00","0,000","0,060","0,04","0,040","0,70","1,22","0,050","0,060","7,620","402,837","0,01","355,817","2,96",2
42,"0,00","0,000","0,008","0,04","0,002","0,20","15,41","0,005","0,019","8,108","30,108","1,77","190,355","1,20",1
43,"0,00","0,000","0,007","0,03","0,003","0,65","12,86","0,009","0,059","8,175","32,770","0,766432408","141,363","0,43",1
